Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-06-15 00:00:00,BTCUSD,9330.45,9348.35,9310.39,9348.35,6.183,57639.08
2020-06-14 23:00:00,BTCUSD,9391.03,9391.03,9330.45,9330.45,13.75,128694.92
2020-06-14 22:00:00,BTCUSD,9338.4,9404.33,9243.25,9391.03,117.93,1097958.78
2020-06-14 21:00:00,BTCUSD,9389.78,9389.78,9313.82,9338.4,20.09,187796.17
2020-06-14 20:00:00,BTCUSD,9389.7,9407.86,9382.48,9389.78,5.655,53141.65
2020-06-14 19:00:00,BTCUSD,9388.58,9400.0,9381.25,9389.7,11.81,110867.17
2020-06-14 18:00:00,BTCUSD,9395.0,9395.0,9366.65,9388.58,10.34,96960.82
2020-06-14 17:00:00,BTCUSD,9395.49,9407.6,9381.58,9395.0,9.692,91010.61
2020-06-14 16:00:00,BTCUSD,9411.58,9426.28,9383.5,9395.49,25.54,240254.76
2020-06-14 15:00:00,BTCUSD,9349.25,9430.1,9335.55,9411.58,58.69,550192.31
2020-06-14 14:00:00,BTCUSD,9400.83,9409.23,9305.05,9349.25,40.01,374088.13
2020-06-14 13:00:00,BTCUSD,9410.68,9415.85,9370.45,9400.83,37.78,354905.52
2020-06-14 12:00:00,BTCUSD,9432.0,9436.23,9389.26,9410.68,3.918,36855.55
2020-06-14 11:00:00,BTCUSD,9425.64,9440.18,9416.68,9432.0,7.457999999999999,70375.26
2020-06-14 10:00:00,BTCUSD,9413.91,9428.75,9413.91,9425.64,2.068,19488.53
2020-06-14 09:00:00,BTCUSD,9432.55,9432.55,9410.1,9413.91,8.152000000000001,76759.01
2020-06-14 08:00:00,BTCUSD,9403.65,9432.63,9392.92,9432.55,6.76,63644.35
2020-06-14 07:00:00,BTCUSD,9399.97,9417.38,9374.47,9403.65,29.98,281747.03
2020-06-14 06:00:00,BTCUSD,9432.46,9436.15,9384.09,9399.97,7.605,71522.7
2020-06-14 05:00:00,BTCUSD,9431.47,9444.29,9418.24,9432.46,14.14,133328.48
2020-06-14 04:00:00,BTCUSD,9432.35,9447.8,9425.78,9431.47,4.118,38853.58
2020-06-14 03:00:00,BTCUSD,9446.82,9449.69,9430.29,9432.35,3.512,33143.91
2020-06-14 02:00:00,BTCUSD,9446.16,9460.92,9437.35,9446.82,9.215,87096.58
2020-06-14 01:00:00,BTCUSD,9450.11,9460.87,9435.31,9446.16,11.24,106163.84
2020-06-14 00:00:00,BTCUSD,9480.17,9480.62,9441.22,9450.11,17.34,164132.39
2020-06-13 23:00:00,BTCUSD,9442.43,9480.17,9430.8,9480.17,43.39,410529.88
2020-06-13 22:00:00,BTCUSD,9426.45,9450.51,9413.95,9442.43,20.41,192595.74
2020-06-13 21:00:00,BTCUSD,9406.79,9434.42,9399.81,9426.45,25.08,236128.37
2020-06-13 20:00:00,BTCUSD,9408.0,9421.71,9354.29,9406.79,39.97,375783.94
2020-06-13 19:00:00,BTCUSD,9445.41,9493.03,9384.13,9408.0,69.0,651082.61
2020-06-13 18:00:00,BTCUSD,9437.28,9456.65,9433.37,9445.41,16.43,155145.15
2020-06-13 17:00:00,BTCUSD,9429.38,9456.65,9429.35,9437.28,14.91,140770.1
2020-06-13 16:00:00,BTCUSD,9440.0,9451.29,9422.25,9429.38,28.17,265933.91
2020-06-13 15:00:00,BTCUSD,9451.58,9466.57,9432.68,9440.0,10.89,102926.05
